no,serverName,note,category,count,department,position,job,term
1,평화로운 다용도 소통방 !,"[복직] 2024년 12월 30일, 사직서를 제출했으나 총 관리자와 서버 소유자의 부재로 인해 수리 지연.\n2025년 11월 14일, 서버 소유자 디스코드 복귀, 사직서를 확인했지만 역할 제거가 이루어지지 않음.\n같은 해 12월 17일, 복직 선언.",👥친목,300+,-,🛠️부 관리자,총 관리자와 협조하여 전체적인 서버 관리,22.05~
2,𝗞𝗗𝗣𝗥𝗦,,📣홍보,1000+,🤝연합팀,👤팀원,"연합 문의 검토/처리, 타 서버와의 연합 체결",22.08~23.01
3,이슬,"[리모델링] 2023년 10월, 구 '비눗방울' 서버 리모델링 및 구조 조정 진행, '총 관리자'에서 '공동 소유자'로 승급.",📣홍보,100+,-,🤝공동 소유자,"서버 지향성 결정, 팀원 구인, 소유자 직무 보조",23.02~24.02
4,UNIVERSE,,📣홍보,50+,-,👑소유자,-,23.03~23.10
5,비공개 서버,,👥친목,3,-,👑소유자,-,23.08~?
6,비공개 서버,,💻개발,10+,-,👑소유자,-,23.08~
7,사랑이야기,,💖연애,10+,📣홍보팀,🧭팀장,"서버 홍보, 연합 문의 검토/처리, 타 서버와의 연합 체결, 팀원 관리 감독",23.08~23.10
8,놀이공원,,👥친목,100+,📣홍보팀,🧭팀장,"서버 홍보, 연합 문의 검토/처리, 타 서버와의 연합 체결, 팀원 관리 감독",23.09~23.12
9,비공개 서버,,👥친목,5+,-,👑소유자,-,23.11~
10,샤베트,,😀이모지,50+,📣홍보팀,🧭팀장,"서버 홍보, 연합 문의 검토/처리, 타 서버와의 연합 체결, 팀원 관리 감독",23.12~23.01
11,상담마을,,💬상담,10+,📣홍보팀,🧭부 팀장,"서버 홍보, 연합 문의 검토/처리, 타 서버와의 연합 체결, 팀장과 협조하여 팀원 관리 감독",23.12~23.01
12,𝐋𝐎𝐕𝐄 𝐒𝐓𝐎𝐑𝐘,,💖연애,300+,📣홍보팀,🧭팀장,"서버 홍보, 연합 문의 검토/처리, 타 서버와의 연합 체결, 팀원 관리 감독",24.02~24.03
13,달보드레 펜션,,👥친목,50+,📣홍보팀,🧭팀장,"서버 홍보, 연합 문의 검토/처리, 타 서버와의 연합 체결, 팀원 관리 감독",24.02~24.07
14,futures,,📚정보,40+,👋고객 서비스팀,👤팀원,"서버 홍보, 연합 문의 검토/처리, 타 서버와의 연합 체결, 멤버 문의 처리",24.02~
15,デージー,,👥친목,80+,📣홍보팀 👋안내팀,👤팀원,"서버 홍보, 연합 문의 검토/처리, 타 서버와의 연합 체결, 새로운 멤버 역할 지급, 채널 안내",24.07
16,영원,,👥친목,40+,-,🛡️총 관리자,소유자/서버장과 협력하여 전체적인 서버 관리,24.08~24.09
17,디스코드 아카이브,,👥커뮤니티,700+,🛠️운영 보조팀 📣홍보팀,👤팀원,-,24.08~25.02
18,🦊 나인의 신비로운 작업실,"[승진] 2025년 2월 2일 '부 관리자' 승진.\n같은 달 12일, 구조 조정 과정에서 '지원팀 팀장'으로 인사 이동.\n2026년 1월 1일, 구조 조정 과정에서 '매니저'로로 승진.",👥커뮤니티,4600+,-,🧑‍💼매니저,-,24.10~
19,🌸𓂃𝙶𝙱 군사부대,,👥친목,70+,🤖봇 관리자,👤팀원,서버 봇 설정 및 유지보수,24.11~25.04
20,비공개 서버,,👥친목,10+,-,🛠️관리자,-,24.12
21,루나 - 𝕃𝕦𝕟𝕒,,👥친목,50+,-,🤝공동 소유자,"서버 지향성 결정, 팀원 구인, 소유자 직무 보조",24.12
22,𝙲𝚑𝚎𝚛𝚛𝚢 𝙱𝚕𝚘𝚜𝚜𝚘𝚖𝚜,,📣홍보,90+,🤝연합팀,👤팀원,"연합 문의 검토/처리, 타 서버와의 연합 체결",24.12~25.02
23,세일러문,,👥친목,5,-,🛡️총 관리자,소유자/서버장과 협력하여 전체적인 서버 관리,24.12
24,𝐓𝐚𝐥𝐤𝐑𝐨𝐨𝐦 수다방,,👥친목,200+,👋안내팀,👤팀원,"방문자 자기소개 검토, 유저 역할 지급",24.12
25,활성화님의 자료서버,,👥커뮤니티,9400+,🔊사운드 업로더,👤팀원,유저 요청 사운드 업로드,25.01~?
26,QWER BOT | 서포트서버,,👥커뮤니티,40+,-,🛡️총 관리자,-,25.02~25.03
27,QWER x Bawige English Server,,👥커뮤니티,300+,-,🛠️관리자,-,25.02
28,똘핀들의 놀이터,,🎥스트리머,300+,-,🧑‍💼매니저,-,25.02~
29,『𝆹양산형𝆴 제작자의 𝕊𝕊𝕊급 소시민 생활기』,,👥친목,50+,-,🛠️부 운영자,-,25.03~25.04
30,QWER 태그서버,,🏷️태그,370+,-,🤝공동 소유자,-,25.05~
31,𝗗𝗶𝘀𝗰𝗼𝗿𝗱 𝗛𝗮𝘃𝗲𝗻,"[리모델링] 2025년 11월 21일, 구 '𝗦𝗻𝗼𝘄𝘆 𝗛𝗮𝘃𝗲𝗻' 서버 리모델링.\n같은 해 12월 2일, 구 '청연 : 靑淵' 서버명 변경.\n같은 달 24일, '봇 관리자'에서 '공동 소유자'로 승급. [부당 해고] 2026년 2월 1일, 서버 소유자와의 관계가 틀어져 무통보 부당 해고를 당했었다.",👥친목,260+,🤖봇 관리자,👤팀원,"서버 봇 설정 및 유지보수",25.06~26.02
32,서월 - 絮月,"[부당 해고] 2026년 2월 1일, 서버 소유자와의 관계가 틀어져 무통보 부당 해고를 당했었다.",📣홍보,240+,🤖봇 관리자,👤팀원,서버 봇 설정 및 유지보수,25.06~26.02
33,청춘계시록,"[리모델링] 2026년 1월 18일, 구 '마음 : 心' 서버 리모델링. [부당 해고] 2026년 2월 1일, 서버 소유자와의 관계가 틀어져 무통보 부당 해고를 당했었다.",📣홍보,410+,-,🤝공동 소유자,-,25.11~26.02
34,비공개 서버,,💻개발,4,-,🤝공동 소유자,-,25.11~
35,쵸단 태그서버,,🏷️태그,35+,-,👑소유자,-,25.12~
36,ECHO : 노래가 머무는 곳,,🎶음악,70+,-,🛡️Admin,-,26.01~
37,☾ ✦︱ON & ON︱✦ ☽,,👥친목,80+,-,🛠️관리자,-,26.01~
39,RazerShot,,👥커뮤니티,13990+,-,🛠️관리자,-,26.04~